Titre,Prix,Ville,CT match,URL
Mercedes A170,3000.0 €,Joigny,Ct ok,https://www.leboncoin.fr/ad/voitures/3155238264
Fiat 500,2500.0 €,Angers,Contrôle technique Ok,https://www.leboncoin.fr/ad/voitures/3155238302
Renault Megane 2003,2000.0 €,Rosny-sous-Bois,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155236448
Peugeot 206,2100.0 €,Metz,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155234480
Toyota yaris 1L VVTi,2950.0 €,Champigny-sur-Marne,Contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3155233296
Twingo 2,2990.0 €,Marseille,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155231272
C4 picasso 7 places,2990.0 €,Homps,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155231228
Twingo,2000.0 €,Anglefort,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155230285
Mini Cooper 1.6i R56,2900.0 €,Apprieu,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3148004439
Alfa Roméo Mito 1.4MPI,3000.0 €,Le Houga,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155228573
Peugeot 207 1.4 essence 3 portes CT OK moins de 6 mois (FAIBLE KM),2850.0 €,Caluire-et-Cuire,CT OK,https://www.leboncoin.fr/ad/voitures/3153188067
206 1.4i 75ch,2800.0 €,Mennecy,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155225329
Citroën C5 1.6 HDi 110 cv – 2007 – 142 000 km – Très bon état,2990.0 €,Martigues,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155225262
Citroen c2,2200.0 €,Riedisheim,CT,https://www.leboncoin.fr/ad/voitures/3155225182
Toyota yaris 1.3 86cv,2690.0 €,Firminy,ct ok,https://www.leboncoin.fr/ad/voitures/3155223621
Fiat Punto,2200.0 €,Izon,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155224819
Hyundai getz 1.1i 5 PORTES EN L’ÉTAT,1900.0 €,Vallauris,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155223977
Renault Clio 1.5 dci pack Clim,3000.0 €,Six-Fours-les-Plages,Ct ok,https://www.leboncoin.fr/ad/voitures/3155222087
Citroën C3 1.6 HDi,2199.0 €,Nancy,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155221013
Clio 2 campus,2200.0 €,Bourg-en-Bresse,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155220062
Ford ka,3000.0 €,Saint-Pathus,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155219216
Peugeot 207 1.4 vti 95cv 2007,2600.0 €,Barlin,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155219034
206 cc cabriolet ct ok recent,3000.0 €,Strazeele,ct ok,https://www.leboncoin.fr/ad/voitures/3155218737
"🚗 Peugeot 1007 1.6 HDi – Diesel – Embrayage + 4 pneus neufs – CT OK 2026 Je vends Peugeot 1007 1.6 HDi, mise en circulation le 23/11/2006. 🔹 200 000 km 🔹 Diesel – faible consommation 🔹 4 places",3000.0 €,Quimper,CT OK,https://www.leboncoin.fr/ad/voitures/3155218681
"C3 1,4 hdi",2890.0 €,La Garde,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155218767
Ds3 so chic 2016 - En l'état - 1.2L PURETECH,2500.0 €,Han-sur-Nied,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155218123
Ford Mondeo 2001,3000.0 €,La Ciotat,Contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3155216478
C4 coupé 1.6 essence 110ch,1500.0 €,Rezé,ct,https://www.leboncoin.fr/ad/voitures/3152635219
Toyota aygo,2600.0 €,Sucy-en-Brie,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155211763
Renault Twingo 2,2590.0 €,Pantin,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155211846
Opel Corsa C 1.2i 75cv,2500.0 €,Clermont-Ferrand,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155210576
C3 1.0 vti 68 ch,2999.0 €,Pontault-Combault,CT OK,https://www.leboncoin.fr/ad/voitures/3154686458
Citroen c1,2800.0 €,La Frette-sur-Seine,CT ok,https://www.leboncoin.fr/ad/voitures/3155209505
Opel tigra,1800.0 €,Saint-Joseph,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155209241
Mégane 2 1.6 16v,2300.0 €,Saint-Étienne,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155207889
Citroën C2,1800.0 €,Marly,CT,https://www.leboncoin.fr/ad/voitures/3155207868
Vend 407 2l hdi 136,1800.0 €,Les Pennes-Mirabeau,"contrôle technique 
",https://www.leboncoin.fr/ad/voitures/3112241297
Fiat panda essence,2300.0 €,Borre,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155206122
Renault Twingo 2 1.2i 75cv,2500.0 €,Clermont-Ferrand,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155203985
Peugeot 207 1.6 SW Break - 136000km,2800.0 €,Prévessin-Moëns,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155204090
206,2300.0 €,Saint-Genis-Laval,Contrôle Technique ok,https://www.leboncoin.fr/ad/voitures/3155203966
Clio estate xv de france,2400.0 €,Colleret,CT,https://www.leboncoin.fr/ad/voitures/3155202761
"Vendu, voiture",1900.0 €,Vénissieux,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155184291
Suzuki alto 2010,3000.0 €,Colombes,contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155199822
Clio 3,2500.0 €,La Courneuve,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155196886
Peugeot 307- 2.0 16V 136ch - bon état,3000.0 €,Générac,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3120403041
Renault Twingo II,2700.0 €,Nice,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155194802
Renault Clio III 1.5dci 86cv,2300.0 €,Le Blanc-Mesnil,Controle technique ,https://www.leboncoin.fr/ad/voitures/3155193799
Fiat punto,1400.0 €,Sciez,ct,https://www.leboncoin.fr/ad/voitures/3155193641
Volkswagen polo,2000.0 €,Wingles,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155192483
Ford fusion,3000.0 €,Bayonne,Contrôle technique valide,https://www.leboncoin.fr/ad/voitures/3155192386
Clio 3,2800.0 €,Grenoble,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155190439
Citroen C2 1.1 essence,2700.0 €,Injoux-Génissiat,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155190213
106 1.5 d,2000.0 €,Nieppe,CT OK,https://www.leboncoin.fr/ad/voitures/3155189142
Renault megane,1500.0 €,Saint-Laurent-du-Var,CT,https://www.leboncoin.fr/ad/voitures/3155188679
Volkswagen Lupo Urgent,2500.0 €,Ramatuelle,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155185134
Renault Megane 2 cc 1.6 litre 110CH finition Karmann,2900.0 €,Ravel,CT OK,https://www.leboncoin.fr/ad/voitures/3155181305
Renault Scénic,2490.0 €,Bohain-en-Vermandois,CT ok,https://www.leboncoin.fr/ad/voitures/3155179399
Opel agila,2990.0 €,Janville-en-Beauce,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155179165
Renault Twingo 2002 CT OK ✅,1590.0 €,Pau,CT OK,https://www.leboncoin.fr/ad/voitures/3150082563
Citroën C1 essences,2200.0 €,Prouvy,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155174495
Peugeot 206,2400.0 €,Wasquehal,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155174055
Peugeot 107,1500.0 €,Mons-en-Baroeul,CT Ok,https://www.leboncoin.fr/ad/voitures/3155173997
Alfa Romeo MiTo,3000.0 €,Montrouge,contrôle technique,https://www.leboncoin.fr/ad/voitures/3132237705
Peugeot 308,2500.0 €,Chavanoz,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155164243
Citroën C3 1.4HDI 70CH 100.000Km,2500.0 €,Besançon,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155159112
Peugeot 206 noire,2500.0 €,Vélizy-Villacoublay,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155158796
Citroen c3 1.4 hdi 70ch,2490.0 €,Guéreins,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155158658
Nissan note,2900.0 €,Annemasse,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155157359
Nissan Micra,2500.0 €,Gleizé,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155157134
Peugeot 208 like 5 portes,2600.0 €,Romans-sur-Isère,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155155803
Citroën C3 1.6 109CV CT OK DISTRI NEUF,1800.0 €,Le Péage-de-Roussillon,CT OK,https://www.leboncoin.fr/ad/voitures/3155154964
Aygo moteur à chaine,2500.0 €,Callas,contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155154702
Renault Mégane,1600.0 €,Saint-Priest,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155130382
Fiat punto,1500.0 €,Bras-d'Asse,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155130693
Renault Twingo,2400.0 €,Rouen,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155128052
Peugeot 407,2300.0 €,Brognard,Controle technique OK,https://www.leboncoin.fr/ad/voitures/3155124918
Kia Picanto 2011,2300.0 €,Montpellier,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155124575
"Peugeot 206 cc Roxy 1,6 Hdi 110 cv",2490.0 €,Montpellier,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155123988
Kia Sorento,2000.0 €,Besançon,CT ok,https://www.leboncoin.fr/ad/voitures/3155123570
Dacia Sandero 2014 essence,2650.0 €,Issy-les-Moulineaux,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155123803
Twingo 2,2500.0 €,Villiers-le-Bel,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155123333
Clio 3,2500.0 €,Guyancourt,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155122667
Citroen Saxo Essence 1.4i,2600.0 €,Meylan,CT à jour,https://www.leboncoin.fr/ad/voitures/3155121773
Fiat panda,1900.0 €,Bruay-la-Buissière,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155116967
Ford Mondeo,1700.0 €,Gosné,Contrôle technique Ok,https://www.leboncoin.fr/ad/voitures/3155116903
CITROEN C3 ed EXCLUSIVE,2950.0 €,Saint-Laurent-du-Var,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155116558
Peugeot 107 – 1.0 essence 68 ch,2000.0 €,Belfort,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155116215
Ford Fiesta 1.4 80ch,2990.0 €,Metz,Contrôle Technique OK,https://www.leboncoin.fr/ad/voitures/3131983943
Peugeot 207 sw toit pano,3000.0 €,L'Hay-les-Roses,CT ok,https://www.leboncoin.fr/ad/voitures/3155115514
155 000k 107 1L PRÊTE À ROULER,1700.0 €,Strasbourg,CONTRÔLE TECHNIQUE,https://www.leboncoin.fr/ad/voitures/3155115014
"Kia Picanto 1,1 CRDI 2009",2150.0 €,Lys-lez-Lannoy,Ct ok,https://www.leboncoin.fr/ad/voitures/3155114889
Twingo 2 toit ouvrant prix fermé seulement 2000,2000.0 €,Saint-Gilles,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155114882
Clio 2 ph2 104000km clim auto ct ok ✅,2999.0 €,Reims,ct ok,https://www.leboncoin.fr/ad/voitures/3155110648
Vente 207SW PREMUIM 1.6,2000.0 €,Moislains,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155109462
Ford fiesta 1.3 CT ok,2000.0 €,Besançon,CT ok,https://www.leboncoin.fr/ad/voitures/3155107031
Peugeot 307 1.6i Pack Sport 110 000 kms,2900.0 €,Valenciennes,CT OK,https://www.leboncoin.fr/ad/voitures/3155106876
Megane 2 1.9l DCI,2500.0 €,Bondy,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155106309
Golf IV,1990.0 €,Mulhouse,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155105655
"Peugeot 208 Phase 2, 1.6 BlueHDi 75 cv, 2015, 5 portes, en véhicule commercial 2 places",2500.0 €,Colmar,CT OK,https://www.leboncoin.fr/ad/voitures/3155105268
Peugeot 107 bleue - 5 portes,2800.0 €,La Montagne,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155102947
C3 1.4,2100.0 €,Nantes,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3154030381
Peugeot 508 sw,2500.0 €,Mont-de-Marsan,Controle technique ok,https://www.leboncoin.fr/ad/voitures/3155102388
Ford fiesta,1500.0 €,Marignane,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155100798
Peugeot 206 Essence,2450.0 €,Reims,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155100013
"Vend Lancia Thesis 2,4 de 2003, 87000 km",3000.0 €,Saint-Martin-du-Bois,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3152201054
